ticker,name,cik,gics_sector,gics_sub_industry,date_added
RYAN,Ryan Specialty,0001849253,Financials,Insurance Brokers,
RYN,Rayonier,0000052827,Real Estate,Timber REITs,
SAIA,Saia,0001177702,Industrials,Cargo Ground Transportation,
SAIC,Science Applications Intl Corp,0001571123,Industrials,Diversified Support Services,
SAM,Boston Beer Company,0000949870,Consumer Staples,Brewers,
SANM,Sanmina Corporation,0000897723,Information Technology,Electronic Manufacturing Services,
SARO,StandardAero,0002025410,Industrials,Aerospace & Defense,
SBRA,Sabra Health Care REIT,0001492298,Real Estate,Health Care REITs,
SCI,Service Corp Intl,0000089089,Consumer Discretionary,Specialized Consumer Services,
SEIC,SEI Investments Company,0000350894,Financials,Asset Management & Custody Banks,
SF,Stifel,0000720672,Financials,Investment Banking & Brokerage,
SFM,Sprouts Farmers Market,0001575515,Consumer Staples,Food Retail,
SGI,Somnigroup International,0001206264,Consumer Discretionary,Home Furnishings,
SHC,Sotera Health,0001822479,Health Care,Health Care Services,
SIGI,Selective Insurance Group,0000230557,Financials,Property & Casualty Insurance,
SIRI,SiriusXM,0000908937,Communication Services,Broadcasting,
SITM,SiTime,0001451809,Information Technology,Semiconductors,
SLAB,Silicon Labs,0001038074,Information Technology,Semiconductors,
SLGN,Silgan Holdings,0000849869,Materials,"Metal, Glass & Plastic Containers",
SLM,SLM Corp,0001032033,Financials,Consumer Finance,
SMG,Scotts Miracle-Gro Company,0000825542,Materials,Fertilizers & Agricultural Chemicals,
SMTC,Semtech,0000088941,Information Technology,Semiconductors,
SN,SharkNinja,0001957132,Consumer Discretionary,Household Appliances,
SNX,TD Synnex,0001177394,Information Technology,Technology Distributors,
SOLS,Solstice Advanced Materials,0002064953,Materials,Specialty Chemicals,
SON,Sonoco,0000091767,Materials,Paper & Plastic Packaging Products & Materials,
SPXC,SPX Technologies,0000088205,Industrials,Industrial Machinery & Supplies & Components,
SR,Spire,0001126956,Utilities,Gas Utilities,
SSB,South State Bank,0000764038,Financials,Regional Banks,
SSD,Simpson Manufacturing,0000920371,Industrials,Building Products,
ST,Sensata Technologies,0001477294,Industrials,Electrical Components & Equipment,
STAG,STAG Industrial,0001479094,Real Estate,Industrial REITs,
STRL,Sterling Infrastructure,0000874238,Industrials,Construction & Engineering,
STWD,Starwood Property Trust,0001465128,Financials,Mortgage REITs,
SWX,Southwest Gas Corp,0001692115,Utilities,Gas Utilities,
SYNA,Synaptics,0000817720,Information Technology,Semiconductors,
TCBI,Texas Capital Bancshares,0001077428,Financials,Regional Banks,
TEX,Terex,0000097216,Industrials,Construction Machinery & Heavy Transportation Equipment,
THC,Tenet Health,0000070318,Health Care,Health Care Facilities,
THG,Hanover Insurance,0000944695,Financials,Property & Casualty Insurance,
THO,Thor Industries,0000730263,Consumer Discretionary,Leisure Products,
TKR,Timken,0000098362,Industrials,Industrial Machinery & Supplies & Components,
TLN,Talen Energy,0001622536,Utilities,Independent Power Producers & Energy Traders,
TNL,Travel + Leisure Co.,0001361658,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",
TOL,Toll Brothers,0000794170,Consumer Discretionary,Homebuilding,
TOST,"Toast, Inc.",0001650164,Financials,Transaction & Payment Processing Services,
TREX,Trex,0001069878,Industrials,Building Products,
TRU,TransUnion,0001552033,Industrials,Research & Consulting Services,
TTC,Toro,0000737758,Industrials,Agricultural & Farm Machinery,
TTEK,Tetra Tech,0000831641,Industrials,Construction & Engineering,
TTMI,TTM Technologies,0001116942,Information Technology,Electronic Manufacturing Services,
TWLO,Twilio,0001447669,Information Technology,Systems Software,
TXNM,TXNM Energy,0001108426,Utilities,Electric Utilities,
TXRH,Texas Roadhouse,0001289460,Consumer Discretionary,Restaurants,
UBSI,United Bankshares,0000729986,Financials,Regional Banks,
UFPI,UFP Industries,0000912767,Industrials,Building Products,
UGI,UGI Corp,0000884614,Utilities,Gas Utilities,
ULS,UL Solutions,0001901440,Industrials,Research & Consulting Services,
UMBF,UMB Financial Corp.,0000101382,Financials,Regional Banks,
UNM,Unum,0000005513,Financials,Life & Health Insurance,
USFD,US Foods,0001665918,Consumer Staples,Food Distributors,
UTHR,United Therapeutics,0001082554,Health Care,Biotechnology,
VAL,Valaris,0000314808,Energy,Oil & Gas Drilling,
VC,Visteon,0001111335,Consumer Discretionary,Automotive Parts & Equipment,
VFC,VF Corporation,0000103379,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",
VIAV,Viavi Solutions,0000912093,Information Technology,Communications Equipment,
VICR,Vicor Corporation,0000751978,Industrials,Electrical Components & Equipment,
VLY,Valley Bank,0000714310,Financials,Regional Banks,
VMI,Valmont Industries,0000102729,Industrials,Industrial Machinery & Supplies & Components,
VNO,Vornado Realty Trust,0000899689,Real Estate,Office REITs,
VNOM,Viper Energy,0002074176,Energy,Oil & Gas Storage & Transportation,
VNT,Vontier,0001786842,Information Technology,Electronic Equipment & Instruments,
VOYA,Voya Financial,0001535929,Financials,Multi-Sector Holdings,
VVV,Valvoline,0001674910,Consumer Discretionary,Automotive Retail,
WAL,Western Alliance Bancorporation,0001212545,Financials,Regional Banks,
WBS,Webster Bank,,Financials,Regional Banks,
WCC,WESCO International,0000929008,Industrials,Trading Companies & Distributors,
WEX,WEX Inc.,0001309108,Financials,Transaction & Payment Processing Services,
WFRD,Weatherford International,0001603923,Energy,Oil & Gas Equipment & Services,
WH,Wyndham Hotels & Resorts,0001722684,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",
WHR,Whirlpool Corporation,0000106640,Consumer Discretionary,Household Appliances,
WING,Wingstop,0001636222,Consumer Discretionary,Restaurants,
WLK,Westlake Corporation,0001262823,Materials,Specialty Chemicals,
WMG,Warner Music Group,0001319161,Communication Services,Movies & Entertainment,
WMS,Advanced Drainage Systems,0001604028,Industrials,Building Products,
WPC,W. P. Carey,0001025378,Real Estate,Diversified REITs,
WSO,Watsco,0000105016,Industrials,Trading Companies & Distributors,
WTFC,Wintrust Financial,0001015328,Financials,Regional Banks,
WTRG,Essential Utilities,0000078128,Utilities,Water Utilities,
WTS,Watts Water Technologies,0000795403,Industrials,Building Products,
WWD,"Woodward, Inc.",0000108312,Industrials,Electrical Components & Equipment,
XPO,"XPO, Inc.",0001166003,Industrials,Cargo Ground Transportation,
XRAY,Dentsply Sirona,0000818479,Health Care,Health Care Supplies,
YETI,Yeti Holdings,0001670592,Consumer Discretionary,Leisure Products,
ZION,Zions Bancorporation,0000109380,Financials,Regional Banks,
