ticker,name,cik,gics_sector,gics_sub_industry,date_added
DCH,Dauch Corporation,0001062231,Consumer Discretionary,Automotive Parts & Equipment,
DCOM,"Dime Community Bancshares, Inc.",0000846617,Financials,Regional Banks,
DEA,"Easterly Government Properties, Inc.",0001622194,Real Estate,Office REITs,
DEI,Douglas Emmett,0001364250,Real Estate,Office REITs,
DFH,"Dream Finders Homes, Inc.",0001825088,Consumer Discretionary,Homebuilding,
DFIN,"Donnelley Financial Solutions, Inc.",0001669811,Financials,Financial Exchanges & Data,
DGII,Digi International Inc.,0000854775,Information Technology,Communications Equipment,
DIOD,Diodes Incorporated,0000029002,Information Technology,Semiconductors,
DLX,Deluxe Corporation,0000027996,Industrials,Commercial Printing,
DMC,Del Monte Corporation,0001047340,Consumer Staples,Packaged Foods & Meats,
DNOW,NOW Inc,0001599617,Industrials,Trading Companies & Distributors,
DORM,"Dorman Products, Inc.",0000868780,Consumer Discretionary,Automotive Parts & Equipment,
DRH,DiamondRock Hospitality Company,0001298946,Real Estate,Hotel & Resort REITs,
DV,DoubleVerify Holdings Inc.,0001819928,Communication Services,Advertising,
DXC,DXC Technology,0001688568,Information Technology,IT Consulting & Other Services,
DXPE,"DXP Enterprises, Inc.",0001020710,Industrials,Trading Companies & Distributors,
EAT,"Brinker International, Inc.",0000703351,Consumer Discretionary,Restaurants,
EBC,"Eastern Bankshares, Inc.",0001810546,Financials,Regional Banks,
ECG,"Everus Construction Group, Inc.",0002015845,Industrials,Construction & Engineering,
ECPG,"Encore Capital Group, Inc.",0001084961,Financials,Consumer Finance,
EFC,"Ellington Financial, Inc.",0001411342,Financials,Specialized Finance,
EFOR,Everforth Inc.,0000890564,Information Technology,IT Consulting & Other Services,
EGBN,Eagle Bancorp Inc,0001050441,Financials,Regional Banks,
EIG,"Employers Holdings, Inc.",0001379041,Financials,Property & Casualty Insurance,
EMN,Eastman Chemical Company,0000915389,Materials,Specialty Chemicals,
ENOV,Enovis,0001420800,Health Care,Health Care Equipment,
ENPH,Enphase Energy,0001463101,Information Technology,Semiconductor Materials & Equipment,
ENR,Energizer,0001632790,Consumer Staples,Household Products,
ENVA,"Enova International, Inc.",0001529864,Financials,Consumer Finance,
EPAC,Enerpac Tool Group,0000006955,Industrials,Industrial Machinery & Supplies & Components,
EPAM,EPAM Systems,0001352010,Information Technology,IT Consulting & Other Services,
EPC,Edgewell Personal Care,0001096752,Consumer Staples,Household Products,
EPRT,"Essential Properties Realty Trust, Inc.",0001728951,Real Estate,Diversified REITs,
ESE,ESCO Technologies Inc.,0000866706,Industrials,Industrial Machinery & Supplies & Components,
ESI,Element Solutions,0001590714,Materials,Specialty Chemicals,
ETSY,Etsy,0001370637,Consumer Discretionary,Broadline Retail,
EVTC,"EVERTEC, Inc.",0001559865,Financials,Transaction & Payment Processing Services,
EXTR,"Extreme Networks, Inc.",0001078271,Information Technology,Communications Equipment,
EYE,National Vision Holdings,0001710155,Consumer Discretionary,Specialty Stores,
EZPW,"EZCORP, Inc.",0000876523,Financials,Consumer Finance,
FA,First Advantage Corporation,0001210677,Industrials,Human Resource & Employment Services,
FBK,FB Financial Corp.,0001649749,Financials,Regional Banks,
FBNC,First Bancorp (Southern Pines NC),0000811589,Financials,Regional Banks,
FBP,First BanCorp (Puerto Rico),0001057706,Financials,Regional Banks,
FBRT,"Franklin BSP Realty Trust, Inc.",0001562528,Real Estate,Mortgage REITs,
FCF,"First Commonwealth Financial, Corp.",0000712537,Financials,Regional Banks,
FCPT,"Four Corners Property Trust, Inc.",0001650132,Real Estate,Other Specialized REITs,
FELE,Franklin Electric,0000038725,Industrials,Industrial Machinery & Supplies & Components,
FFBC,First Financial Bancorp,0000708955,Financials,Regional Banks,
FG,"F&G Annuities & Life, Inc.",0001934850,Financials,Life & Health Insurance,
FHB,"First Hawaiian, Inc.",0000036377,Financials,Regional Banks,
FIBK,"First Interstate BancSystem, Inc.",0000860413,Financials,Regional Banks,
FIZZ,National Beverage Corp.,0000069891,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,
FLO,Flowers Foods,0001128928,Consumer Staples,Packaged Foods & Meats,
FMC,FMC Corporation,0000037785,Materials,Fertilizers & Agricultural Chemicals,
FORM,"FormFactor, Inc.",0001039399,Information Technology,Semiconductor Materials & Equipment,
FOXF,Fox Factory,0001424929,Consumer Discretionary,Automotive Parts & Equipment,
FRPT,Freshpet,0001611647,Consumer Staples,Packaged Foods & Meats,
FSS,Federal Signal Corporation,0000277509,Industrials,Construction Machinery & Heavy Transportation Equipment,
FTDR,"Frontdoor, Inc.",0001727263,Consumer Discretionary,Specialized Consumer Services,
FTRE,Fortrea,0001965040,Health Care,Biotechnology,
FUL,H.B. Fuller Company,0000039368,Materials,Specialty Chemicals,
FULT,Fulton Financial Corporation,0000700564,Financials,Regional Banks,
FUN,Six Flags,0001999001,Consumer Discretionary,Leisure Facilities,
GBX,"The Greenbrier Companies, Inc.",0000923120,Industrials,Construction Machinery & Heavy Transportation Equipment,
GEO,"GEO Group, Inc.",0000923796,Industrials,Environmental & Facilities Services,
GFF,Griffon Corporation,0000050725,Industrials,Building Products,
GIII,"G-III Apparel Group, Ltd.",0000821002,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",
GKOS,Glaukos Corp.,0001192448,Health Care,Health Care Equipment,
GNL,"Global Net Lease, Inc.",0001526113,Real Estate,Diversified REITs,
GNW,"Genworth Financial, Inc.",0001276520,Financials,Multi-line Insurance,
GO,Grocery Outlet,0001771515,Consumer Staples,Food Retail,
GOLF,Acushnet Company,0001672013,Consumer Discretionary,Leisure Products,
GPI,"Group 1 Automotive, Inc.",0001031203,Consumer Discretionary,Automotive Retail,
GPOR,Gulfport Energy Corporation,0000874499,Energy,Oil & Gas Exploration & Production,
GRBK,"Green Brick Partners, Inc.",0001373670,Consumer Discretionary,Homebuilding,
GSHD,"Goosehead Insurance, Inc.",0001726978,Financials,Insurance Brokers,
GT,Goodyear Tire and Rubber Company,0000042582,Consumer Discretionary,Tires & Rubber,
GTES,Gates Corporation,0001718512,Industrials,Industrial Machinery & Supplies & Components,
GTM,ZoomInfo,0001794515,Communication Services,Interactive Media & Services,
GTY,Getty Realty Corp.,0001052752,Real Estate,Retail REITs,
GVA,"Granite Construction, Inc.",0000861459,Industrials,Construction & Engineering,
HAFC,Hanmi Financial Corporation,0001109242,Financials,Regional Banks,
HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",0001561894,Financials,Specialized Finance,
HAYW,"Hayward Holdings, Inc.",0001834622,Industrials,Electrical Components & Equipment,
HCC,"Warrior Met Coal, Inc.",0001691303,Materials,Steel,
HCI,"HCI Group, Inc.",0001400810,Financials,Property & Casualty Insurance,
HCSG,"Healthcare Services Group, Inc.",0000731012,Industrials,Environmental & Facilities Services,
HE,"Hawaiian Electric Industries, Inc.",0000354707,Utilities,Electric Utilities,
HFWA,Heritage Financial Corporation,0001046025,Health Care,Regional Banks,
HIW,Highwoods Properties,0000921082,Real Estate,Office REITs,
HLIT,Harmonic Inc.,0000851310,Information Technology,Communications Equipment,
HLX,"Helix Energy Solutions Group, Inc.",0000866829,Energy,Oil & Gas Equipment & Services,
HMN,Horace Mann Educators Corporation,0000850141,Financials,Multi-line Insurance,
HNI,HNI Corporation,0000048287,Industrials,Office Services & Supplies,
HOPE,"Hope Bancorp, Inc.",0001128361,Financials,Regional Banks,
HP,"Helmerich & Payne, Inc.",0000046765,Energy,Oil & Gas Drilling,
HRMY,"Harmony Biosciences Holdings, Inc.",0001802665,Health Care,Biotechnology,
HSTM,"HealthStream, Inc.",0001095565,Health Care,Health Care Technology,
HTH,Hilltop Holdings Inc.,0001265131,Financials,Regional Banks,
